id	filename	md5	size	state
55b3633a-52cf-4fdf-8c7e-6a001446543e	55b3633a-52cf-4fdf-8c7e-6a001446543e/b62d3507-2bda-4e59-8fb8-92bdb22da15d.mirnaseq.mirnas.quantification.txt	66c0528d5214c350ff45aac5e87a4522	49628	validated
51928d7d-633c-42b6-b6b8-00bc80f49c48	51928d7d-633c-42b6-b6b8-00bc80f49c48/3e84a369-b4d1-4875-a0e2-93166089ded0.mirnaseq.mirnas.quantification.txt	573a0cf7c8f35b3a06181bc641ce850f	49289	validated
518066d0-31de-458c-b1e4-e05fca8b8080	518066d0-31de-458c-b1e4-e05fca8b8080/66538ed6-23de-4294-afca-f2648dc8a894.mirnaseq.mirnas.quantification.txt	b0b7c3ccb60f868093362987d5da9db7	49341	validated
51a9bb51-1d94-4449-86bb-702e1a15317e	51a9bb51-1d94-4449-86bb-702e1a15317e/612a5389-42bf-49c9-9ae1-b622ed892454.mirnaseq.mirnas.quantification.txt	d11db6c5375da27f3132efa0fe0f65a2	49270	validated
c157d8ba-b4e8-401e-8760-13ad4ad880ba	c157d8ba-b4e8-401e-8760-13ad4ad880ba/c8661665-4af6-4a74-91b0-cc12ac10ed71.mirnaseq.mirnas.quantification.txt	36f6360e377910f696bb8ec0bd5b366d	49318	validated
52043d6c-dd7d-4aae-9e8e-7e8475b44e0a	52043d6c-dd7d-4aae-9e8e-7e8475b44e0a/21ea2684-2d99-48ac-8516-9ff94b8f9893.mirnaseq.mirnas.quantification.txt	e25a22572158803139d5fb8908aedb5b	49277	validated
55386393-740d-48f7-bfde-028138d29195	55386393-740d-48f7-bfde-028138d29195/bba1f7de-d3c8-43db-8edc-c62aee414645.mirnaseq.mirnas.quantification.txt	80d20b07c56eacd7bddcc0077b178f8b	49323	validated
52367022-bb2b-436f-afee-bb70a6b6b0e1	52367022-bb2b-436f-afee-bb70a6b6b0e1/7d6ec12a-72b5-4e70-8487-cfa3be992e27.mirnaseq.mirnas.quantification.txt	251812d0120b8fa8d27129fb49775726	49308	validated
c52e6306-45aa-4d2b-becc-9bb24920a78d	c52e6306-45aa-4d2b-becc-9bb24920a78d/385fca3c-fa99-415c-8bd9-c5686694b1be.mirnaseq.mirnas.quantification.txt	b0cc84fc5d554e0171d2794c5992cd77	49642	validated
a5349b22-bc96-493d-a628-2c55bbb4df98	a5349b22-bc96-493d-a628-2c55bbb4df98/41796a4e-6b4e-4f08-8d82-628ab4a6ff63.mirnaseq.mirnas.quantification.txt	75420089852cd76c706b26183e8585bd	49281	validated
c5b4f62d-a017-49c6-a2b6-470dbeac47f9	c5b4f62d-a017-49c6-a2b6-470dbeac47f9/1132865e-a46b-4e84-a07f-565695b06981.mirnaseq.mirnas.quantification.txt	e4d096700ffccb4f1aa4bd89664f40bc	49280	validated
